,sentiment,sentiment:confidence,text
0,1,0.8468,top 3 all   tablets  damn right! 
1,1,0.6736,cnbctv   apple's margins better than expected?  aapl 
2,0,1.0,wtf my battery was 31  one second ago and now is 29  wtf is this 
3,1,1.0,rt  bought my  at the  store  pretty good logo match   can't wait to install it! 
4,0,1.0, contact sync between yosemite and ios8 is seriously screwed up  it used to be much more stable in the past   icloud  isync
5,0,0.9399,warning if you buy an iphone 5s unlocked from  iphone you cannot use it on verizon network
6,0,1.0," for the love of gawd, center the '1'on the damn calendar app  you fixed it once, its back, off center, again! "
7,0,0.8928,i get the storage almost full notification literally every 5 minutes chill 
8,0,0.8558,i had to do made the  switch from iphone 6 to the galaxy note edge   keep up 
9,0,0.8701,at me rt  can't stand those ppl with  stickers everywhere  9 10 they prob just bought an ipod shuffle
10,1,0.5724,latest apple products leading in efficiency    iphone  ipad  plugloads
11,1,1.0,rt    thanks   thinking of upgrading 
12,0,0.4673,that flash crash really screwed with a lot of traders today  not me  im more determined than ever to make trading work for me  aapl
13,0,0.7453,nigga update yall headphones 
14,0,0.665,rt  justice department cites 18th century federal law to get  to unlock iphones  
15,0,1.0,"ok,  you win  i won't use your browser anymore since it keeps closing on me  literally 8 times today  i counted "
16,0,0.501,  i cite the us constitution where judges cannot pass laws! violation of the separation of powers
17,0,1.0, u need to get ur fucking shit together and let me txt while on youtube
18,0,0.6672,  wish we could prosecute the admin for violation of privacy and criminal search and seizure
19,0,0.6656, aapl here's why apple dropped   
20,0,1.0,hey  fuck you
21,0,1.0, why doesn't your people explain precautions when buying an expensive laptop
22,0,1.0,"as a die hard  customer, i must say i am truly displeased with the customer service i was given today   badservice  apple"
23,0,1.0, made it clear today that i as a customer are not worth a measly  79!! an employee gave mis info and they will not stand behind it
24,1,0.8214,photo  love ios 8    love  ios8  nocrop  iphone  young  phone  screen  capturescream  boy    
25,0,1.0,why does  force people to use its vpn built in to ios8? off button doesn't work ffs  like i want apple's nsa data collection service 
26,0,0.6398,then how the hell did i take this screenshot?   
27,0,0.5327,buy round lot on the open mt   aapl stock briefly dove 6 4  today  analysts not sure why  
28,0,1.0,3g is draining my battery fix this 
29,0,1.0, your chargers suck ass! they just love to break!
30,0,0.7556,i'm hoping  won't automatically make us download bruce springsteen and u2 singing together    u2  bruce  espn  thatwasbad
31,0,0.4791,  what a joke! justice dept should prosecute killer wilson in pursuit of justice   ferguson is not over!
32,0,0.7591,rt    wish we could prosecute the admin for violation of privacy and criminal search and seizure
33,0,1.0,so so sooooo annoyed  did the restore from my back up and lost my voice mails  i needed to keep those  thanks a lot 
34,0,0.7039,thisn yosemite update is stressing me out   macbookpro
35,0,1.0,just broke my 3rd charger of the month  get your shit together 
36,0,1.0,"this iphone 6 battery isn't as good as you claim, "
37,0,1.0, nasdaq big fall       fell 3 6  on monday! see whether follow up   
38,1,0.6517,"just updated my ram to 16gb   you guys are like shallow gf's  take all the money, but dammit you look good "
39,0,1.0,  oh it's not fair and i think you're really mean
40,1,0.7851,ibm   ios users account for 21 6  of all online sales  3x  users (6 6 )  they are dominating   business  sales  cybermonday
41,0,1.0,i hate how ios 8 capitalizes random words like i dont wanna give emphasis to some stupid word in tha sentence get ur self together 
42,0,0.6884, why was the iphone 4 ever created
43,0,1.0, i fucking hate you 
44,1,0.6573, please can i have new phone for christmas?  spreadsomejoy
45,0,1.0,it's not like the app costs money just let me download it 
46,0,1.0,my phones been charging for an hour but it keeps losing percentage?? get ur shit together 
47,0,1.0,  we couldn't even get a turkey for tday so they just don't care     appleemojissuck
48,0,1.0,rt  my phones been charging for an hour but it keeps losing percentage?? get ur shit together 
49,1,1.0,well played  
50,1,1.0,thank you 
51,0,0.6894,fix it  
52,1,1.0,rt  thank you 
53,0,1.0,how long does it really take for a phone to ship  smh
54,0,1.0,"so, on my iphone5, the  health kit is no longer gathering data   sigh "
55,0,0.6864,thanks  for changing yet another fuck into duck   thanks 
56,0,0.5339, yh news apple tumbles as much as 6 percent in unusual trading  by chuck mikolajczak new york (reuters)      
57,0,1.0, cause fuck 
58,0,1.0,if i buy a 16 gb phone i should have 16 gb's to use 
59,0,1.0,fuck you for breaking my music 
60,0,1.0,just need  to come out with a charger cord that keep a charge  amp  don't fall apart 
61,0,0.6809999999999999,rt  you should be able to forward a voicemail  why isn't that a thing? 
62,0,1.0, and  i speak for all of humanity  we want to chose what contacts are added to our contacts book from  facebook  thanks
63,0,1.0, i h8 everything about u
64,0,1.0, ur a disgrace
65,0,1.0,my phone is on acid right now  fix this
66,0,1.0, i had a power cord problem  under warranty  you said it would be fine  it isn't  and now you won't replace it? 
67,0,1.0, this was normal use   no abuse! wrapped it exactly as you instructed me to  this is a fire hazard  you should replace it   defective
68,1,0.718," btw, i love all of your products   they rock!  your power cords are junk   you seriously need to fix this!"
69,0,0.6894,rt  justice department cites 18th century federal law to get  to unlock iphones  
70,0,1.0,yo  fix your shitty imessage
71,1,0.6544, aapl rt  apple's share repurchases have benefited shareholders by  80 billion  
72,1,0.6373,"even with apple watch delayed, i'm raising my aapl price target to  165     aapl  alex_cho"
73,1,1.0,i love  between   amp   i earned  200 miles during the  blackfriday sale!  freemoney  centsability  cybermonday
74,0,1.0,yo!  this auto correct shit gotta stop!!! changing my shit right when i send it
75,0,1.0,those   pick up the slack you fuck boys 
76,1,0.6635, maybe good product but never better then  macbook air      it's a fact
77,0,1.0,fucking faggots 
78,0,0.6635, of course that's not their mother fucking at
79,0,1.0,the fuck kinda gay shit you print in the fucking ketosis 
80,0,1.0,game     you bitches really trying me tonight! rt   gams night gawd
81,0,1.0,rt   u need to get ur fucking shit together and let me txt while on youtube
82,0,0.7206,  why can't i buy any version let alone the version i actually like of star wars on   stupid  lame  starwars
83,0,0.6827,"can  drop audio only rendition requirement for ios apps?  
users hate it  
no other stores want it 
other platforms don't know what it is"
84,0,0.8539,"none too happy with  mac os x (yosemite), file vault 2, or boot camp right now  thankful to own a "
85,0,0.6882,i demand there be a tapatio emoji 
86,0,0.7284,so for the second time  aapl  pages ate my edits  700bn?  amateurs  fail  iwantjobsback
87,0,1.0,feel so lost with out my phone  (   iphone 5 chargers are horrendous!  brokenchargerprobs
88,0,0.7248,excellent news  houseofcards s3 on  27 2! i wonder if yosemite  amp  my wifi will be talking by then   ? it's been wks!!
89,0,1.0, my laptop is burning my legs what do u have to say about this
90,1,0.667,    great news! hope your wifi gets sorted though!
91,0,0.6826, this makes me feel so sad     why do u have to be so rood 
92,0,1.0,i hate these  earphones so bad  why in the world did they think it was a good idea to p  
93,1,1.0, i salut you!  photo 
94,0,0.6758,why you dying so fast phone? fuck you 
95,0,0.6681,  fix this
96,0,1.0,  apple  iphone   iphone4s  iphone4problems  someone fucking help me someone who works at apple fucking help me do ur job cunts
97,0,1.0,wtf  synching notes or icloud pages is unusable  it used to be easier 
98,0,1.0,hey  fuck you just let me change stores
99,0,1.0,about to write a huge fuck you to  for not letting me make reservations to get my laptop fixed
100,0,0.6631,"apple tumbles as much as 6 percent in unusual trading  aapl  aapl 
"
101,0,0.532, says 'machines' caused  big drop  aapl  
102,0,0.6387,  yeah the trackpad is fine and working now! but i had to damage one of the screw holdings to get the battery out
103,0,1.0,  fail   since updating my  ipad  os there is a  bug that does not delete videos and free up memory forcing    
104,0,1.0,my alarm was set the ringer was on and it just refused to work fuck u 
105,0,0.6658,"i'm lost because it's deer season, but there is no deer emoji  come on  how am i suppose to show the love to all my huntin' friendz?"
106,0,0.6672, i figured out  memory issue on my  ipad  it wasnt a  bug but a new hidden folder that stores our  images    
107,0,0.7119," applelawsuit depends on exactly what  did to hold back beat their competition  there are fair game competitive tactics  amp  unfair 1s 
yk"
108,0,1.0,"iphone6 has too many issues,  why tf is the earphone plug in not working  u better fix this shit for free "
109,0,0.7253,"  but trying to get launch info ahead of time from telco marketing teams was a nightmare   thanks  
 ecomchat"
110,0,1.0,dear  replace my phone my battery sucks
111,1,1.0,"fantastic service today  store touchwood   thanks to all,  amp  esp zach for sorting my battery problem so quickly  amp  efficiently "
112,0,1.0,rt  dear  replace my phone my battery sucks
113,0,1.0,"  thats annoying, they never get stuff right the first time "
114,0,0.6758,rt  dear  replace my phone my battery sucks
115,1,0.7026,thestreet    apple gets price target boost on back of strong  iphone demand  aapl 
116,1,0.6825, with now dual core technology 
117,0,1.0,i'm surprised there isn't more talk about what looked like a flash crash in  aapl yesterday  biggest range in years and largely ignored
118,0,0.6906,i'm surprised there isn't more talk about what looked like a flash crash in  aapl yesterday  biggest range in years and largely ignored
119,1,1.0,enjoying the introductions at the   connected launch event   some amazing  edtech leaders in the room    txed
120,1,0.6669,"got a new phone    
 iphone6plus "
121,0,0.6669,here's why  apple won't be a trillion dollar company according to billionaire vc jim breyer  aapl 
122,0,0.6643,chromebooks overtake apple's ipads in u s  education market     chromebooks  ipad
123,0,0.6912,apple inc  is doomed   aapl dropped by 1 54 ! currently priced at 113 3    aapl
124,0,0.6676,  wants you to stop taking vertical photos   via 
125,1,1.0,props for  itc app review team for reviewing metadata rejected resubmission in just 2 hours! thanks!
126,0,1.0, yall some hoes
127,1,1.0,what's at the core of  new  ios7? excellent updates for your phone's  mobilesecurity   mcafee   
128,1,1.0,thanks  for 'keep newer' when transferring files from a local hard drive to a server 
129,0,1.0,did you notice that  apps now say 'get' instead of 'free'? this change was due to alleged misleading labeling  
130,0,1.0,  it is very confusing u wonder if it means u are going to get a bill later for ur download please use free if it's free
131,0,0.7290000000000001,"apple  loses ground to google  in education tablet sales  aapl  aapl 
"
132,0,0.6758, what do i need to do if my mac has been really slow lately ?
133,1,0.6797,rt  enjoying the introductions at the   connected launch event   some amazing  edtech leaders in the room    txed
134,0,0.6894,your stupid as shit upgrade has ruined the god damned ide 
