,text
0,top 3 all   tablets  damn right! 
1,cnbctv   apple's margins better than expected?  aapl 
2,wtf my battery was 31  one second ago and now is 29  wtf is this 
3,rt  bought my  at the  store  pretty good logo match   can't wait to install it! 
4, contact sync between yosemite and ios8 is seriously screwed up  it used to be much more stable in the past   icloud  isync
5,warning if you buy an iphone 5s unlocked from  iphone you cannot use it on verizon network
6," for the love of gawd, center the '1'on the damn calendar app  you fixed it once, its back, off center, again! "
7,i get the storage almost full notification literally every 5 minutes chill 
8,i had to do made the  switch from iphone 6 to the galaxy note edge   keep up 
9,at me rt  can't stand those ppl with  stickers everywhere  9 10 they prob just bought an ipod shuffle
10,latest apple products leading in efficiency    iphone  ipad  plugloads
11,rt    thanks   thinking of upgrading 
12,that flash crash really screwed with a lot of traders today  not me  im more determined than ever to make trading work for me  aapl
13,nigga update yall headphones 
14,rt  justice department cites 18th century federal law to get  to unlock iphones  
15,"ok,  you win  i won't use your browser anymore since it keeps closing on me  literally 8 times today  i counted "
16,  i cite the us constitution where judges cannot pass laws! violation of the separation of powers
17, u need to get ur fucking shit together and let me txt while on youtube
18,  wish we could prosecute the admin for violation of privacy and criminal search and seizure
19, aapl here's why apple dropped   
20,hey  fuck you
21, why doesn't your people explain precautions when buying an expensive laptop
22,"as a die hard  customer, i must say i am truly displeased with the customer service i was given today   badservice  apple"
23, made it clear today that i as a customer are not worth a measly  79!! an employee gave mis info and they will not stand behind it
24,photo  love ios 8    love  ios8  nocrop  iphone  young  phone  screen  capturescream  boy    
25,why does  force people to use its vpn built in to ios8? off button doesn't work ffs  like i want apple's nsa data collection service 
26,then how the hell did i take this screenshot?   
27,buy round lot on the open mt   aapl stock briefly dove 6 4  today  analysts not sure why  
28,3g is draining my battery fix this 
29, your chargers suck ass! they just love to break!
30,i'm hoping  won't automatically make us download bruce springsteen and u2 singing together    u2  bruce  espn  thatwasbad
31,  what a joke! justice dept should prosecute killer wilson in pursuit of justice   ferguson is not over!
32,rt    wish we could prosecute the admin for violation of privacy and criminal search and seizure
33,so so sooooo annoyed  did the restore from my back up and lost my voice mails  i needed to keep those  thanks a lot 
34,thisn yosemite update is stressing me out   macbookpro
35,just broke my 3rd charger of the month  get your shit together 
36,"this iphone 6 battery isn't as good as you claim, "
37, nasdaq big fall       fell 3 6  on monday! see whether follow up   
38,"just updated my ram to 16gb   you guys are like shallow gf's  take all the money, but dammit you look good "
39,  oh it's not fair and i think you're really mean
40,ibm   ios users account for 21 6  of all online sales  3x  users (6 6 )  they are dominating   business  sales  cybermonday
41,i hate how ios 8 capitalizes random words like i dont wanna give emphasis to some stupid word in tha sentence get ur self together 
42, why was the iphone 4 ever created
43, i fucking hate you 
44, please can i have new phone for christmas?  spreadsomejoy
45,it's not like the app costs money just let me download it 
46,my phones been charging for an hour but it keeps losing percentage?? get ur shit together 
47,  we couldn't even get a turkey for tday so they just don't care     appleemojissuck
48,rt  my phones been charging for an hour but it keeps losing percentage?? get ur shit together 
49,well played  
50,thank you 
51,fix it  
52,rt  thank you 
53,how long does it really take for a phone to ship  smh
54,"so, on my iphone5, the  health kit is no longer gathering data   sigh "
55,thanks  for changing yet another fuck into duck   thanks 
56, yh news apple tumbles as much as 6 percent in unusual trading  by chuck mikolajczak new york (reuters)      
57, cause fuck 
58,if i buy a 16 gb phone i should have 16 gb's to use 
59,fuck you for breaking my music 
60,just need  to come out with a charger cord that keep a charge  amp  don't fall apart 
61,rt  you should be able to forward a voicemail  why isn't that a thing? 
62, and  i speak for all of humanity  we want to chose what contacts are added to our contacts book from  facebook  thanks
63, i h8 everything about u
64, ur a disgrace
65,my phone is on acid right now  fix this
66, i had a power cord problem  under warranty  you said it would be fine  it isn't  and now you won't replace it? 
67, this was normal use   no abuse! wrapped it exactly as you instructed me to  this is a fire hazard  you should replace it   defective
68," btw, i love all of your products   they rock!  your power cords are junk   you seriously need to fix this!"
69,rt  justice department cites 18th century federal law to get  to unlock iphones  
70,yo  fix your shitty imessage
71, aapl rt  apple's share repurchases have benefited shareholders by  80 billion  
72,"even with apple watch delayed, i'm raising my aapl price target to  165     aapl  alex_cho"
73,i love  between   amp   i earned  200 miles during the  blackfriday sale!  freemoney  centsability  cybermonday
74,yo!  this auto correct shit gotta stop!!! changing my shit right when i send it
75,those   pick up the slack you fuck boys 
76, maybe good product but never better then  macbook air      it's a fact
77,fucking faggots 
78, of course that's not their mother fucking at
79,the fuck kinda gay shit you print in the fucking ketosis 
80,game     you bitches really trying me tonight! rt   gams night gawd
81,rt   u need to get ur fucking shit together and let me txt while on youtube
82,  why can't i buy any version let alone the version i actually like of star wars on   stupid  lame  starwars
83,"can  drop audio only rendition requirement for ios apps?  
users hate it  
no other stores want it 
other platforms don't know what it is"
84,"none too happy with  mac os x (yosemite), file vault 2, or boot camp right now  thankful to own a "
85,i demand there be a tapatio emoji 
86,so for the second time  aapl  pages ate my edits  700bn?  amateurs  fail  iwantjobsback
87,feel so lost with out my phone  (   iphone 5 chargers are horrendous!  brokenchargerprobs
88,excellent news  houseofcards s3 on  27 2! i wonder if yosemite  amp  my wifi will be talking by then   ? it's been wks!!
89, my laptop is burning my legs what do u have to say about this
90,    great news! hope your wifi gets sorted though!
91, this makes me feel so sad     why do u have to be so rood 
92,i hate these  earphones so bad  why in the world did they think it was a good idea to p  
93, i salut you!  photo 
94,why you dying so fast phone? fuck you 
95,  fix this
96,  apple  iphone   iphone4s  iphone4problems  someone fucking help me someone who works at apple fucking help me do ur job cunts
97,wtf  synching notes or icloud pages is unusable  it used to be easier 
98,hey  fuck you just let me change stores
99,about to write a huge fuck you to  for not letting me make reservations to get my laptop fixed
100,"apple tumbles as much as 6 percent in unusual trading  aapl  aapl 
"
101, says 'machines' caused  big drop  aapl  
102,  yeah the trackpad is fine and working now! but i had to damage one of the screw holdings to get the battery out
103,  fail   since updating my  ipad  os there is a  bug that does not delete videos and free up memory forcing    
104,my alarm was set the ringer was on and it just refused to work fuck u 
105,"i'm lost because it's deer season, but there is no deer emoji  come on  how am i suppose to show the love to all my huntin' friendz?"
106, i figured out  memory issue on my  ipad  it wasnt a  bug but a new hidden folder that stores our  images    
107," applelawsuit depends on exactly what  did to hold back beat their competition  there are fair game competitive tactics  amp  unfair 1s 
yk"
108,"iphone6 has too many issues,  why tf is the earphone plug in not working  u better fix this shit for free "
109,"  but trying to get launch info ahead of time from telco marketing teams was a nightmare   thanks  
 ecomchat"
110,dear  replace my phone my battery sucks
111,"fantastic service today  store touchwood   thanks to all,  amp  esp zach for sorting my battery problem so quickly  amp  efficiently "
112,rt  dear  replace my phone my battery sucks
113,"  thats annoying, they never get stuff right the first time "
114,rt  dear  replace my phone my battery sucks
115,thestreet    apple gets price target boost on back of strong  iphone demand  aapl 
116, with now dual core technology 
117,i'm surprised there isn't more talk about what looked like a flash crash in  aapl yesterday  biggest range in years and largely ignored
118,i'm surprised there isn't more talk about what looked like a flash crash in  aapl yesterday  biggest range in years and largely ignored
119,enjoying the introductions at the   connected launch event   some amazing  edtech leaders in the room    txed
120,"got a new phone    
 iphone6plus "
121,here's why  apple won't be a trillion dollar company according to billionaire vc jim breyer  aapl 
122,chromebooks overtake apple's ipads in u s  education market     chromebooks  ipad
